,calificacion,comentarios,Clasificacion
981,0,que le cobraron una pension que nunca le mencionaron.,
982,10,uno confia en el vendedor y no revisan las unidades y salen con detalles.,
983,9,no le dan el status del vehiculo y no le dan informacion suficiente.,
984,9,el tiempo que toma la reparacion,
985,7,"ha tenido mala experiencia en el area de servicio, y no han respondido",
986,10,"espera en la hoja de pago es tardado, seria mejor pasar directo o que la den antes.",
987,7,"se siente enganado, y molesto. porque no le resuelven dudas. desinformacion por parte de todos.",
988,6,muy impuntuales.,
989,10,tiempo de espera en entregar es demasiado,
990,10,esta contento con el servicio,
991,10,"excelente servicio, buen servicio y atencion.",
992,10,el internet no fue bueno.,
993,10,todo bien solo que las refacciones tardan mucho.,
994,10,todo estuvo de lujo,
995,10,todo correcto,
996,8,cliente molesto por tiempo de espera en la entrega de su carro,
997,8,"chatbook no coincide, que no contestan mensajes, tuvo que venir a sacar cita porque no se comunicaron con el.",
998,9,las refacciones la dieron a alguien que no debian.,
999,10,"reducir tiempos, los tiempos son excesivos",
1000,8,el tiempo de espera y no que no dan seguimiento,
1001,10,"todo muy bien, gran servicio",
1002,9,que programen los servicios bien.,
1003,10,descuentos,
1004,10,todo fue rapido,
1005,9,"mandan publicidad enganosa, no especifican que es para ciertos vehiculos. tener cuidado.",
1006,9,porque se tardan mucho,
1007,5,tiempo de espera y nula comunicacion,
1008,10,espera del diagnostico en la respuesta,
1009,10,tiempo de espera de la entrega,
1010,10,"bien, solo se tardan en recibir el auto el asesor",
1011,10,tarda un poco,
1012,10,sigan igual de amables,
1013,9,en caja no hay cambio,
1014,10,las citas le gustaria que fueran en fin de semana.,
1015,10,muy bien servicio,
1016,9,rapido y lo atendieron bien,
1017,9,no respetaron el horario de entrega.,
1018,10,ha sido genial el trato,
1019,10,le gusto la puntualidad,
1020,10,"todo estuvo excelente, solo fui yo el que se atraso",
1021,8,cliente molesto por tiempo de espera,
1022,9,otra caja para que el pago sea rapido.,
1023,5,el tiempo de espera y mala atencion del asesor,
1024,0,le hicieron pasar un pesimo dia,
1025,9,tardaron en contestar en whatsapp al hacer la cita,
1026,10,el servicio es bueno pero no estaba la pieza que necesitaba,
1027,10,un poco mas de respuesta rapida y facilidad de comunicacion via telefonica,
1028,10,no pusieron atencion que no queria concierto agente de servicio y fue el que le pusieron.,
1029,10,mas asesores y mas personal para recibir vehiculos.,
1030,10,entregan en tiempo y forma,
1031,10,"media hora de atraso, exigen la puntualidad y no la dan",
1032,9,"en la manana espero 10 minutos, debe ser puntual",
1033,10,"colocar informacion en whatsapp, verdadera.",
1034,10,satisfecho,
1035,5,"el vehiculo muestra rechino, no preguntaron nada.",
1036,10,reducir tiempos de entrega,
1037,7,es muy lento el servicio,
1038,5,servicio y refacciones carismas,
1039,8,"bajar los precios, esta demasiado caro.",
1040,10,las personas en caja son groseras,
1041,5,"todo muy complicado, falta de comunicacion, se va con una mala experiencia.",
1042,10,el servicio es genial,
1043,9,"entrega a tiempo , se tardaron en entregarle",
1044,10,"todo bien, siempre le hablan, y le dan la atencion.",
1045,9,se tardaron en realizar el servicio.,
1046,10,"que le avisen cuando ya quede, quiere seguimiento.",
1047,10,"todo bien, solo que sube el costo y no le dan explicacion.",
1048,8,mejor atencion,
1049,5,"ha tenido muchas situaciones con su vehiculo, la atencion es lenta y es muy caro.",
1050,10,"gran servicio por parte del personal, especialmente por yazaret cruz",
1051,10,la atencion es buena y el servicio es agil,
1052,10,"mejorar los tiempos, son muy tardados.",
1053,10,"mandan muchos mensajes en whatsapp, innecesarios.",
1054,10,sigan asi,
1055,8,confusion en su segunda llave del vehiculo,
1056,5,"no se dice completa la informacion, siente racismo por parte del asesor.",
1057,8,"tiempo de cotizacion, casi tres semanas. fue muy lento.",
1058,10,seguimiento mejorar.,
1059,10,"nada, si lo recomendaria mucho",
1060,7,no hubo comunicacion por un tema con un birlo,
1061,10,siempre los han atendido muy bien,
1062,10,ha estado muy bien.,
1063,5,"que le pongan interes, porque recibio vehiculo con golpe, no la revisaron correctamente.",
1064,8,"en caja no son amables y no son amables, en servicio todo bien.",
1065,10,"en la pagina, marcan al numero, no contesta nadie. ni el asesor fernando.",
1066,10,"la cita no la registraron, que tengan mas cuidado",
1067,10,muy profesionales,
1068,10,me gusto,
1069,9,lo atendieron muy bien,
1070,6,nula comunicacion por parte del asesor.,
1071,8,que tengan refacciones.,
1072,10,esta muy contento de traer su camioneta aqui,
1073,10,todo sin problema.,
1074,10,muy atentos todos,
1075,9,"todo bien ,solo tardaron mucho las piezas",
1076,10,"ninguno, fueron muy amables",
1077,7,"los costos son excesivos, son servicios que no necesita el auto. parece una broma.",
1078,10,que sean mas rapidos al recepcionar el vehiculo,
1079,10,nunca esta el personal de caja.,
1080,10,excelente trato al cliente,
1081,10,tuvo un gran servicio,
1082,10,el tiempo de servicio es muchisimo,
1083,10,muy rapido todo,
1084,10,siempre bien,
1085,10,pues bien hasta ahorita,
1086,10,"muy bien, solucionaron mi problema",
1087,10,caja fue tardado porque estaban jugando,
